StateAbb,CCode,StateNme,Continent
DJI,522,Djibouti,AF
ETH,530,Ethiopia,AF
ERI,531,Eritrea,AF
ANG,540,Angola,AF
MZM,541,Mozambique,AF
ZAM,551,Zambia,AF
ZIM,552,Zimbabwe,AF
MAW,553,Malawi,AF
SAF,560,South Africa,AF
NAM,565,Namibia,AF
LES,570,Lesotho,AF
BOT,571,Botswana,AF
SWA,572,Swaziland,AF
MAG,580,Madagascar,AF
COM,581,Comoros,AF
MAS,590,Mauritius,AF
SEY,591,Seychelles,AF
MOR,600,Morocco,AF
ALG,615,Algeria,AF
TUN,616,Tunisia,AF
LIB,620,Libya,AF
SUD,625,Sudan,AF
SSD,626,South Sudan,AF
IRN,630,Iran,AS
TUR,640,Turkey,AS
IRQ,645,Iraq,AS
EGY,651,Egypt,AS
SYR,652,Syria,AS
LEB,660,Lebanon,AS
JOR,663,Jordan,AS
ISR,666,Israel,AS
SAU,670,Saudi Arabia,AS
YAR,678,Yemen Arab Republic,AS
YEM,679,Yemen,AS
YPR,680,Yemen People's Republic,AS
KUW,690,Kuwait,AS
BAH,692,Bahrain,AS
QAT,694,Qatar,AS
UAE,696,United Arab Emirates,AS
OMA,698,Oman,AS
AFG,700,Afghanistan,AS
TKM,701,Turkmenistan,AS
TAJ,702,Tajikistan,AS
KYR,703,Kyrgyzstan,AS
UZB,704,Uzbekistan,AS
KZK,705,Kazakhstan,AS
CHN,710,China,AS
MON,712,Mongolia,AS
TAW,713,Taiwan,AS
KOR,730,Korea,AS
PRK,731,North Korea,AS
ROK,732,South Korea,AS
JPN,740,Japan,AS
JPN,740,Japan,AS
IND,750,India,AS
BHU,760,Bhutan,AS
PAK,770,Pakistan,AS
BNG,771,Bangladesh,AS
MYA,775,Myanmar,AS
SRI,780,Sri Lanka,AS
MAD,781,Maldives,AS
NEP,790,Nepal,AS
THI,800,Thailand,AS
CAM,811,Cambodia,AS
LAO,812,Laos,AS
DRV,816,Vietnam,AS
RVN,817,Republic of Vietnam,AS
MAL,820,Malaysia,AS
SIN,830,Singapore,AS
BRU,835,Brunei,AS
PHI,840,Philippines,AS
INS,850,Indonesia,AS
ETM,860,East Timor,AS
AUL,900,Australia,AU
PNG,910,Papua New Guinea,AU
NEW,920,New Zealand,AU
VAN,935,Vanuatu,AU
SOL,940,Solomon Islands,AU
KIR,946,Kiribati,AU
TUV,947,Tuvalu,AU
FIJ,950,Fiji,AU
TON,955,Tonga,AU
NAU,970,Nauru,AU
MSI,983,Marshall Islands,AU
PAL,986,Palau,AU
FSM,987,Federated States of Micronesia,AU
WSM,990,Samoa,AU
